name,train_acc,test_acc,layer_sizes,dropout_rates,use_batch_norm,train_seconds_per_sample
CNNModel,0.90026,0.56566,"[16, 128]","[None, None]",True,0.00041
CNNModel,0.74441,0.42424,"[16, 128]","[None, None]",True,0.00041
CNNModel,0.93839,0.66667,"[16, 128]","[None, None]",True,0.00041
CNNModel,0.92373,0.73737,"[16, 128]","[None, None]",True,0.00043
CNNModel,0.90539,0.58586,"[16, 128]","[None, None]",True,0.00043
CNNModel,0.09278,0.12121,"[16, 128]","[None, None]",False,0.00036
CNNModel,0.11783,0.09091,"[16, 128]","[None, None]",False,0.00036
CNNModel,0.06747,0.09091,"[16, 128]","[None, None]",False,0.00036
CNNModel,0.07041,0.09091,"[16, 128]","[None, None]",False,0.00036
CNNModel,0.13385,0.06061,"[16, 128]","[None, None]",False,0.00037
CNNModel,0.83132,0.63636,"[16, 128]","[0.5, 0.5]",True,0.00054
CNNModel,0.79562,0.63636,"[16, 128]","[0.5, 0.5]",True,0.00051
CNNModel,0.79599,0.61616,"[16, 128]","[0.5, 0.5]",True,0.00052
CNNModel,0.75309,0.56566,"[16, 128]","[0.5, 0.5]",True,0.00052
CNNModel,0.81958,0.63636,"[16, 128]","[0.5, 0.5]",True,0.00051
CNNModel,0.13128,0.09091,"[16, 128]","[0.5, 0.5]",False,0.00045
CNNModel,0.16734,0.17172,"[16, 128]","[0.5, 0.5]",False,0.00043
CNNModel,0.12835,0.09091,"[16, 128]","[0.5, 0.5]",False,0.00044
CNNModel,0.14033,0.24242,"[16, 128]","[0.5, 0.5]",False,0.00044
CNNModel,0.14497,0.21212,"[16, 128]","[0.5, 0.5]",False,0.00044
CNNModel,0.91627,0.69697,"[16, 16, 16, 128]","[None, None, None, None]",True,0.00046
CNNModel,0.91957,0.73737,"[16, 16, 16, 128]","[None, None, None, None]",True,0.00046
CNNModel,0.94133,0.73737,"[16, 16, 16, 128]","[None, None, None, None]",True,0.00047
CNNModel,0.89146,0.74747,"[16, 16, 16, 128]","[None, None, None, None]",True,0.00047
CNNModel,0.8532,0.77778,"[16, 16, 16, 128]","[None, None, None, None]",True,0.00051
CNNModel,0.89598,0.70707,"[16, 16, 16, 128]","[None, None, None, None]",False,0.00037
CNNModel,0.90478,0.68687,"[16, 16, 16, 128]","[None, None, None, None]",False,0.00038
CNNModel,0.90233,0.72727,"[16, 16, 16, 128]","[None, None, None, None]",False,0.00038
CNNModel,0.91566,0.70707,"[16, 16, 16, 128]","[None, None, None, None]",False,0.00041
CNNModel,0.91468,0.68687,"[16, 16, 16, 128]","[None, None, None, None]",False,0.00039
CNNModel,0.34812,0.31313,"[16, 16, 16, 128]","[0.5, 0.5, 0.5, 0.5]",True,0.00059
CNNModel,0.27197,0.28283,"[16, 16, 16, 128]","[0.5, 0.5, 0.5, 0.5]",True,0.00061
CNNModel,0.29532,0.35354,"[16, 16, 16, 128]","[0.5, 0.5, 0.5, 0.5]",True,0.00063
CNNModel,0.32661,0.38384,"[16, 16, 16, 128]","[0.5, 0.5, 0.5, 0.5]",True,0.00063
CNNModel,0.28004,0.33333,"[16, 16, 16, 128]","[0.5, 0.5, 0.5, 0.5]",True,0.00062
CNNModel,0.13042,0.06061,"[16, 16, 16, 128]","[0.5, 0.5, 0.5, 0.5]",False,0.00053
CNNModel,0.17822,0.07071,"[16, 16, 16, 128]","[0.5, 0.5, 0.5, 0.5]",False,0.00051
CNNModel,0.13568,0.06061,"[16, 16, 16, 128]","[0.5, 0.5, 0.5, 0.5]",False,0.00049
CNNModel,0.16245,0.0303,"[16, 16, 16, 128]","[0.5, 0.5, 0.5, 0.5]",False,0.00051
CNNModel,0.06637,0.09091,"[16, 16, 16, 128]","[0.5, 0.5, 0.5, 0.5]",False,0.0005
CNNModel,0.93729,0.71717,"[16, 32, 64, 128]","[None, None, None, None]",True,0.00062
CNNModel,0.95685,0.81818,"[16, 32, 64, 128]","[None, None, None, None]",True,0.00063
CNNModel,0.95025,0.80808,"[16, 32, 64, 128]","[None, None, None, None]",True,0.00064
CNNModel,0.82899,0.63636,"[16, 32, 64, 128]","[None, None, None, None]",True,0.00068
CNNModel,0.96846,0.79798,"[16, 32, 64, 128]","[None, None, None, None]",True,0.00069
CNNModel,0.9549,0.71717,"[16, 32, 64, 128]","[None, None, None, None]",False,0.00056
CNNModel,0.93473,0.72727,"[16, 32, 64, 128]","[None, None, None, None]",False,0.00054
CNNModel,0.94781,0.73737,"[16, 32, 64, 128]","[None, None, None, None]",False,0.00055
CNNModel,0.95514,0.74747,"[16, 32, 64, 128]","[None, None, None, None]",False,0.00055
CNNModel,0.93412,0.77778,"[16, 32, 64, 128]","[None, None, None, None]",False,0.00051
CNNModel,0.65603,0.64646,"[16, 32, 64, 128]","[0.5, 0.5, 0.5, 0.5]",True,0.00076
CNNModel,0.53306,0.53535,"[16, 32, 64, 128]","[0.5, 0.5, 0.5, 0.5]",True,0.00079
CNNModel,0.37844,0.47475,"[16, 32, 64, 128]","[0.5, 0.5, 0.5, 0.5]",True,0.00076
CNNModel,0.49627,0.51515,"[16, 32, 64, 128]","[0.5, 0.5, 0.5, 0.5]",True,0.0008
CNNModel,0.43002,0.44444,"[16, 32, 64, 128]","[0.5, 0.5, 0.5, 0.5]",True,0.00081
CNNModel,0.13446,0.08081,"[16, 32, 64, 128]","[0.5, 0.5, 0.5, 0.5]",False,0.0007
CNNModel,0.11013,0.06061,"[16, 32, 64, 128]","[0.5, 0.5, 0.5, 0.5]",False,0.00068
CNNModel,0.15267,0.06061,"[16, 32, 64, 128]","[0.5, 0.5, 0.5, 0.5]",False,0.0007
CNNModel,0.13654,0.06061,"[16, 32, 64, 128]","[0.5, 0.5, 0.5, 0.5]",False,0.00071
CNNModel,0.13311,0.06061,"[16, 32, 64, 128]","[0.5, 0.5, 0.5, 0.5]",False,0.00072
MLPModel,0.8939,0.77778,"[512]","[None]",True,0.00044
MLPModel,0.89598,0.69697,"[512]","[None]",True,0.00043
MLPModel,0.81958,0.60606,"[512]","[None]",True,0.00042
MLPModel,0.92935,0.71717,"[512]","[None]",True,0.00045
MLPModel,0.92079,0.74747,"[512]","[None]",True,0.00047
MLPModel,0.11918,0.06061,"[512]","[None]",False,0.00043
MLPModel,0.13006,0.06061,"[512]","[None]",False,0.00041
MLPModel,0.1237,0.0303,"[512]","[None]",False,0.00048
MLPModel,0.13042,0.12121,"[512]","[None]",False,0.00046
MLPModel,0.11514,0.18182,"[512]","[None]",False,0.00046
MLPModel,0.89598,0.72727,"[512]","[0.5]",True,0.00053
MLPModel,0.9148,0.74747,"[512]","[0.5]",True,0.00048
MLPModel,0.85857,0.60606,"[512]","[0.5]",True,0.0005
MLPModel,0.88473,0.67677,"[512]","[0.5]",True,0.0005
MLPModel,0.85699,0.69697,"[512]","[0.5]",True,0.00051
MLPModel,0.11747,0.21212,"[512]","[0.5]",False,0.00051
MLPModel,0.12749,0.09091,"[512]","[0.5]",False,0.00046
MLPModel,0.15805,0.18182,"[512]","[0.5]",False,0.0005
MLPModel,0.13324,0.0303,"[512]","[0.5]",False,0.0005
MLPModel,0.14204,0.07071,"[512]","[0.5]",False,0.00052
MLPModel,0.90331,0.68687,"[32, 32, 32, 32, 32, 32]","[None, None, None, None, None, None]",True,0.00069
MLPModel,0.85833,0.64646,"[32, 32, 32, 32, 32, 32]","[None, None, None, None, None, None]",True,0.00067
MLPModel,0.88779,0.72727,"[32, 32, 32, 32, 32, 32]","[None, None, None, None, None, None]",True,0.00069
MLPModel,0.89708,0.69697,"[32, 32, 32, 32, 32, 32]","[None, None, None, None, None, None]",True,0.00063
MLPModel,0.89635,0.72727,"[32, 32, 32, 32, 32, 32]","[None, None, None, None, None, None]",True,0.00066
MLPModel,0.79648,0.60606,"[32, 32, 32, 32, 32, 32]","[None, None, None, None, None, None]",False,0.00047
MLPModel,0.6564,0.42424,"[32, 32, 32, 32, 32, 32]","[None, None, None, None, None, None]",False,0.00048
MLPModel,0.72338,0.58586,"[32, 32, 32, 32, 32, 32]","[None, None, None, None, None, None]",False,0.00052
MLPModel,0.83584,0.69697,"[32, 32, 32, 32, 32, 32]","[None, None, None, None, None, None]",False,0.0005
MLPModel,0.70859,0.57576,"[32, 32, 32, 32, 32, 32]","[None, None, None, None, None, None]",False,0.00049
MLPModel,0.2221,0.07071,"[32, 32, 32, 32, 32, 32]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5]",True,0.00071
MLPModel,0.22516,0.06061,"[32, 32, 32, 32, 32, 32]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5]",True,0.00072
MLPModel,0.32954,0.21212,"[32, 32, 32, 32, 32, 32]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5]",True,0.00076
MLPModel,0.25889,0.08081,"[32, 32, 32, 32, 32, 32]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5]",True,0.00079
MLPModel,0.24361,0.13131,"[32, 32, 32, 32, 32, 32]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5]",True,0.00078
MLPModel,0.16123,0.06061,"[32, 32, 32, 32, 32, 32]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5]",False,0.00057
MLPModel,0.14888,0.0303,"[32, 32, 32, 32, 32, 32]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5]",False,0.00056
MLPModel,0.1446,0.0404,"[32, 32, 32, 32, 32, 32]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5]",False,0.00059
MLPModel,0.15328,0.0303,"[32, 32, 32, 32, 32, 32]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5]",False,0.00064
MLPModel,0.15927,0.0303,"[32, 32, 32, 32, 32, 32]","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5]",False,0.00061
MLPModel,0.93558,0.76768,"[32, 64, 128, 256]","[None, None, None, None]",True,0.00066
MLPModel,0.90906,0.77778,"[32, 64, 128, 256]","[None, None, None, None]",True,0.00071
MLPModel,0.94499,0.67677,"[32, 64, 128, 256]","[None, None, None, None]",True,0.00068
MLPModel,0.90527,0.76768,"[32, 64, 128, 256]","[None, None, None, None]",True,0.00066
MLPModel,0.91554,0.71717,"[32, 64, 128, 256]","[None, None, None, None]",True,0.00077
MLPModel,0.59614,0.40404,"[32, 64, 128, 256]","[None, None, None, None]",False,0.00072
MLPModel,0.65371,0.54545,"[32, 64, 128, 256]","[None, None, None, None]",False,0.00078
MLPModel,0.51595,0.31313,"[32, 64, 128, 256]","[None, None, None, None]",False,0.00086
MLPModel,0.6685,0.57576,"[32, 64, 128, 256]","[None, None, None, None]",False,0.00097
MLPModel,0.5932,0.37374,"[32, 64, 128, 256]","[None, None, None, None]",False,0.00087
MLPModel,0.62315,0.52525,"[32, 64, 128, 256]","[0.5, 0.5, 0.5, 0.5]",True,0.0011
MLPModel,0.61692,0.49495,"[32, 64, 128, 256]","[0.5, 0.5, 0.5, 0.5]",True,0.00106
MLPModel,0.60029,0.43434,"[32, 64, 128, 256]","[0.5, 0.5, 0.5, 0.5]",True,0.00104
MLPModel,0.65689,0.58586,"[32, 64, 128, 256]","[0.5, 0.5, 0.5, 0.5]",True,0.00103
MLPModel,0.62584,0.51515,"[32, 64, 128, 256]","[0.5, 0.5, 0.5, 0.5]",True,0.00104
MLPModel,0.15084,0.06061,"[32, 64, 128, 256]","[0.5, 0.5, 0.5, 0.5]",False,0.00087
MLPModel,0.17516,0.06061,"[32, 64, 128, 256]","[0.5, 0.5, 0.5, 0.5]",False,0.00098
MLPModel,0.17198,0.06061,"[32, 64, 128, 256]","[0.5, 0.5, 0.5, 0.5]",False,0.00099
MLPModel,0.14473,0.0303,"[32, 64, 128, 256]","[0.5, 0.5, 0.5, 0.5]",False,0.00093
MLPModel,0.15389,0.0303,"[32, 64, 128, 256]","[0.5, 0.5, 0.5, 0.5]",False,0.00098
MLPModel,0.94218,0.81818,"[256, 128, 64, 32]","[None, None, None, None]",True,0.00031
MLPModel,0.93839,0.82828,"[256, 128, 64, 32]","[None, None, None, None]",True,0.00031
MLPModel,0.91676,0.78788,"[256, 128, 64, 32]","[None, None, None, None]",True,0.00032
MLPModel,0.93962,0.71717,"[256, 128, 64, 32]","[None, None, None, None]",True,0.00032
MLPModel,0.9203,0.70707,"[256, 128, 64, 32]","[None, None, None, None]",True,0.00031
MLPModel,0.06784,0.09091,"[256, 128, 64, 32]","[None, None, None, None]",False,0.00022
MLPModel,0.11698,0.15152,"[256, 128, 64, 32]","[None, None, None, None]",False,0.00023
MLPModel,0.06894,0.09091,"[256, 128, 64, 32]","[None, None, None, None]",False,0.00023
MLPModel,0.06894,0.09091,"[256, 128, 64, 32]","[None, None, None, None]",False,0.00024
